distid,lunch,math4,year,lenrol,lrexpp
3070,22.1,31.6,1993,7.1739583,8.3085918
3070,21.6,47.099998,1994,7.2218356,8.3243284
3070,20.24,58.900002,1995,7.2189097,8.5145226
3070,19.790001,48.5,1996,7.2093401,8.5561457
3070,18.790001,62,1997,7.1884127,8.6086779
3070,19,80,1998,7.1808314,8.6093349
3080,15.3,30,1992,6.2915692,8.8097334
3080,18.700001,44.200001,1993,6.3868794,8.7598801
3080,21.200001,54.900002,1994,6.4876842,8.7732277
3080,21.530001,65.400002,1995,6.5381398,8.7988195
3080,25.709999,61,1996,6.5510802,8.8533745
3080,20.5,48,1997,6.5424719,8.7961874
3080,20.530001,77,1998,6.5410299,8.8676291
3100,9.6999998,39.700001,1992,7.9094896,8.4583616
3100,13.3,46.799999,1993,7.9280457,8.5112762
3100,10.9,46.700001,1994,7.6553907,8.3652449
3100,11.92,65.300003,1995,7.6643467,8.4388695
3100,9.5900002,64.099998,1996,7.6648159,8.4996815
3100,11.63,62,1997,7.7070627,8.4957657
3100,10.81,80,1998,7.704812,8.5106964
3440,0,100,1992,3.9702919,7.8169932
3440,0,25,1993,3.9318256,7.9504304
3440,0,75,1994,3.9120231,8.0880966
3440,0,60,1995,3.4339871,8.6767559
3440,0,77.800003,1996,3.4011974,8.8622522
3440,0,14,1997,3.2958369,9.0138388
3440,0,100,1998,3.2580965,8.9279194
4000,40.200001,29,1992,7.6434827,8.3519497
4000,41.5,35.299999,1993,7.6391611,8.4129667
4000,40.099998,38.700001,1994,7.6251073,8.5010738
4000,34.990002,60.400002,1995,7.5968943,8.5627594
4000,34.080002,65,1996,6.1654177,8.18748
4000,35.130001,55,1997,6.1654177,8.203578
4000,36.43,72,1998,6.1420374,8.2499371
4010,30.1,33.099998,1992,8.6946697,8.3139915
4010,30.9,47.5,1993,8.6903057,8.3385172
4010,30,47.5,1994,8.6918182,8.4021254
4010,32.389999,63.099998,1995,8.6609468,8.5094404
4010,31.27,64.900002,1996,8.6728287,8.5632048
4010,32.169998,57,1997,8.6729994,8.5764055
4010,34.110001,70,1998,8.6504993,8.6204081
5010,41.5,7.0999999,1992,5.2149358,8.5101404
5010,45.5,15.4,1993,5.2257466,8.5931911
5010,45.900002,15.4,1994,5.1929569,8.6489477
5010,50.25,27.299999,1995,5.2574954,8.5946465
5010,48.419998,33.299999,1996,5.2470241,8.7266903
5010,47.919998,9,1997,5.2626901,8.7456026
5010,45.310001,50,1998,5.2364421,8.8431969
5035,27.4,48.599998,1992,6.1923623,8.5034361
5035,32.299999,50,1993,6.196444,8.54813
5035,33.099998,51.400002,1994,6.1862087,8.6495171
5035,33.459999,48.799999,1995,6.2383246,8.7210131
5035,31.02,58.5,1996,6.2166061,8.7503014
5035,33.200001,76,1997,6.2105999,8.8292265
5035,32.09,65,1998,6.253829,8.7208729
5040,28.299999,66.699997,1992,6.401917,8.5099106
5040,26.1,44.200001,1993,6.4393506,8.5281172
5040,22.5,59.599998,1994,6.4232469,8.650465
5040,20.09,79.699997,1995,6.4551988,8.6885376
5040,19.559999,78,1996,6.4892049,8.6747589
5040,19.879999,79,1997,6.4831076,8.7193174
5040,19.790001,97,1998,6.4769726,8.6984539
5060,22.299999,39.799999,1992,7.1553965,8.5567341
5060,23.4,50.5,1993,7.1514854,8.6024132
5060,23.299999,70.400002,1994,7.1989312,8.6133881
5060,21.41,82.699997,1995,7.2137685,8.6653786
5060,21.25,82,1996,7.2717037,8.662981
5060,22.629999,84,1997,7.2786288,8.6966772
5060,24.950001,77,1998,7.2744794,8.6114874
5065,30.1,25,1992,5.6383548,8.3931923
5065,27.4,52.900002,1993,5.6094718,8.4404459
5065,29.200001,28.6,1994,5.6276212,8.5561028
5065,29.719999,60.900002,1995,5.6733232,8.6006708
5065,27.92,57.099998,1996,5.659482,8.6808567
5065,39.439999,85,1997,5.5759492,8.8201084
5065,31.75,71,1998,5.5412636,8.8140631
5070,32.099998,20.700001,1992,6.8330317,8.4629622
5070,34.299999,19.700001,1993,6.8987145,8.4259491
5070,30.5,50.799999,1994,6.877296,8.5241385
5070,33.59,60.299999,1995,6.9324479,8.6078148
5070,40.48,54.5,1996,6.9450512,8.6485538
5070,53.900002,51,1997,6.9726062,8.718009
5070,55.619999,82,1998,7.0003343,8.668437
6010,40.599998,10,1992,6.2841344,8.3100586
6010,44.099998,15.6,1993,6.2614918,8.4341898
6010,42.299999,22.200001,1994,6.2595816,8.4301615
6010,49.599998,44.700001,1995,6.251904,8.511138
6010,47.279999,29.700001,1996,6.2265368,8.5618353
6010,47.349998,44,1997,6.1923623,8.6139565
6010,49.09,69,1998,6.1717005,8.6830578
6020,32.400002,27.299999,1992,6.338594,8.3751602
6020,31.4,45,1993,6.3456364,8.3880033
6020,30,64.300003,1994,6.3578424,8.4463339
6020,35.549999,60.5,1995,6.363028,8.5950356
6020,32.43,50,1996,6.3595738,8.6499882
6020,31.76,70,1997,6.4052286,8.6378164
6020,37.73,75,1998,6.401917,8.5873642
6050,34.299999,29,1992,7.6820216,8.2307196
6050,33.799999,40,1993,7.6829433,8.2353678
6050,32.5,43,1994,7.6971211,8.306839
6050,38.82,51.5,1995,7.6629376,8.4607248
6050,37.43,37.599998,1996,7.6810989,8.4595356
6050,34.950001,43,1997,7.6449194,8.4947433
6050,34.310001,70,1998,7.6391611,8.5340109
7010,62.5,50,1992,4.0253515,8.2007189
7010,61.799999,37.5,1993,3.9889841,8.3657656
7010,62.5,80,1994,4.1271343,8.2636871
7010,59.459999,88.900002,1995,3.6109178,8.9631805
7010,48.57,50,1996,3.5553482,9.0396833
7010,54.049999,40,1997,3.6109178,8.9540281
7010,55.560001,60,1998,3.2958369,9.0508986
7040,34.799999,20,1992,6.7696419,8.5281801
7040,40.700001,38.900002,1993,6.7776465,8.5049992
7040,37.200001,38.5,1994,6.7417006,8.5301437
7040,37.950001,45.799999,1995,6.7787848,8.5516291
7040,38.52,46.400002,1996,6.7522702,8.6357336
7040,37.59,42,1997,6.6833611,8.7114429
7040,34.18,84,1998,6.7093043,8.7628698
8010,25,36.799999,1992,7.6829433,8.3218107
8010,26.700001,40.099998,1993,7.673223,8.3527584
8010,30.9,62,1994,7.6939373,8.4294519
8010,29.459999,67.099998,1995,7.6348205,8.5899572
8010,27.290001,67.099998,1996,7.6477861,8.6242199
8010,28.43,69,1997,7.6605854,8.6026363
8010,29.93,78,1998,7.6857033,8.6285458
8030,18.4,40.799999,1992,8.1324129,8.3756866
8030,20.1,46.599998,1993,8.149313,8.381918
8030,19.299999,44.099998,1994,8.1417723,8.4670439
8030,21.35,68.400002,1995,8.1191006,8.5729704
8030,21.280001,73.699997,1996,8.1344671,8.6194286
8030,20.059999,71,1997,8.1347609,8.6566076
8030,21.76,83,1998,8.1256313,8.662324
8050,15.6,30.5,1992,7.757051,8.3877382
8050,16,35.299999,1993,7.7676873,8.3750277
8050,16.6,46.900002,1994,7.7911096,8.4859924
8050,17.68,53.400002,1995,7.8292327,8.5591297
8050,16.219999,60.700001,1996,7.846981,8.6131287
8050,15.99,64,1997,7.8773971,8.6406488
8050,14.8,81,1998,7.8739786,8.6331158
9010,25.9,32.900002,1992,9.3320265,8.3743687
9010,29,36.200001,1993,9.3030109,8.3852186
9010,36.299999,46.599998,1994,9.2845201,8.4718142
9010,38.900002,66.400002,1995,9.2470579,8.5761528
9010,37.27,55.5,1996,9.2397051,8.644599
9010,32.599998,53,1997,9.2689867,8.6574764
9010,34.970001,69,1998,9.2690811,8.693018
9030,22.5,42.299999,1992,8.050703,8.3114653
9030,24.200001,40.5,1993,7.9759083,8.3551121
9030,25.700001,52.400002,1994,7.9309254,8.4935617
9030,24.99,73.099998,1995,7.8961806,8.6000891
9030,25.43,78.199997,1996,7.8808045,8.6136866
9030,23.41,79,1997,7.9131551,8.6228132
9030,22.74,90,1998,7.8902082,8.6669121
9050,13.9,28.9,1992,7.4922032,8.6424618
9050,14.2,59.299999,1993,7.5087872,8.630969
9050,15.9,60,1994,7.4933171,8.7347717
9050,15.43,75.400002,1995,7.4977617,8.7165365
9050,13.97,72.400002,1996,7.4759059,8.8533745
9050,17.870001,66,1997,7.5137091,8.7744675
9050,14.56,78,1998,7.5395589,8.7170095
9090,24.1,46,1992,7.8296304,8.3756866
9090,32.299999,52.700001,1993,7.8168201,8.4200916
9090,29.700001,47.900002,1994,7.8143997,8.447031
9090,35.049999,65.199997,1995,7.7235622,8.5811043
9090,31.15,54,1996,7.7177963,8.6400862
9090,32.98,54,1997,7.7319307,8.7232313
9090,30.84,67,1998,7.7133379,8.7295094
10015,35.099998,30.799999,1992,7.4247618,8.2689781
10015,35.599998,41.099998,1993,7.4372063,8.3113251
10015,37.5,39,1994,7.4815559,8.3435793
10015,39.299999,70.900002,1995,7.4815559,8.4825487
10015,38.66,56.599998,1996,7.5104303,8.4801283
10015,36.990002,59,1997,7.5294065,8.5219812
10015,42.869999,74,1998,7.5538111,8.524085
10025,32.700001,48.599998,1992,6.3207684,8.6037741
10025,31.5,61.099998,1993,6.2785215,8.6997242
10025,32,42.099998,1994,6.2989492,8.7018251
10025,33.040001,63.400002,1995,6.3508859,8.7446108
10025,33.16,84.400002,1996,6.368187,8.8115835
10025,33.389999,71,1997,6.3952618,8.8168535
10025,35.709999,78,1998,6.3885612,8.8181524
11000,25.5,43.599998,1992,7.5579948,8.4931774
11000,36.5,46.200001,1993,5.8998976,7.7814879
11000,28.299999,48.599998,1994,7.5745583,8.4962196
11000,40.610001,67.400002,1995,5.9738097,8.2449093
11000,42.119999,62.299999,1996,5.9814143,8.247653
11000,41.959999,58,1997,7.509335,8.7071524
11000,41.169998,72,1998,5.9610052,8.3005991
11010,79.099998,15.1,1992,8.9136848,8.5048265
11010,79.5,12.4,1993,8.9339275,8.5232706
11010,82.199997,30.1,1994,8.8928862,8.6268711
11010,80.669998,53.099998,1995,8.7369709,8.8520498
11010,83.620003,45,1996,8.6986809,8.7784224
11010,84.449997,48,1997,8.7045021,8.8692579
11010,81.879997,68,1998,8.6673355,8.9805765
11020,8.1000004,51.099998,1992,7.8192344,8.5154257
11020,7.8000002,66.800003,1993,7.8434563,8.5554266
11020,7.4000001,67.900002,1994,7.8628821,8.6216173
11020,7.04,75.699997,1995,7.8950634,8.7142906
11020,7.3299999,70,1996,7.8845763,8.6992722
11020,7.8400002,74,1997,7.8920784,8.7245321
11020,8.1599998,80,1998,7.9302063,8.6999321
11030,9.8999996,53.599998,1992,7.9529667,8.3209753
11030,9.6999998,56.5,1993,7.9837809,8.2828112
11030,11.5,64.300003,1994,7.9858246,8.3368578
11030,11.2,71.199997,1995,7.9810495,8.4368172
11030,11.27,66.699997,1996,8.0093632,8.4756603
11030,11.4,58,1997,8.0090303,8.5346403
11030,11.79,65,1998,7.997663,8.5678988
11033,15.7,49.400002,1992,7.2211051,8.5250063
11033,16.200001,49.400002,1993,7.1974354,8.6013927
11033,17.4,61.099998,1994,7.1685801,8.7034445
11033,21.98,79.5,1995,7.193686,8.7882748
11033,24.389999,76.400002,1996,7.1974354,8.7318201
11033,25.690001,83,1997,7.1716566,8.7272921
11033,25.379999,82,1998,7.1876574,8.7027168
11160,18.200001,25.6,1992,6.3578424,8.3658867
11160,23.6,50,1993,6.4002576,8.2964773
11160,18.200001,31,1994,6.3578424,8.4702272
11160,21.76,40,1995,6.2915692,8.6147165
11160,20.209999,48.099998,1996,6.2166061,8.6253223
11160,26.219999,30,1997,6.2383246,8.6918182
11160,24.4,70,1998,6.1224928,8.6797161
11200,23.4,36,1992,6.5847912,8.7099733
11200,24.700001,40,1993,6.5102582,8.7497206
11200,25.700001,65.699997,1994,6.4692502,8.8462811
11200,27.65,83.300003,1995,6.4846354,8.9244127
11200,30.889999,53.299999,1996,6.4583383,8.8830423
11200,35.77,55,1997,6.4692502,8.9340601
11200,34.889999,67,1998,6.4167323,9.0657997
11210,23.200001,47,1992,7.4500794,8.3134308
11210,21.6,58,1993,7.467371,8.3535433
11210,21.700001,64.900002,1994,7.4570322,8.3690195
11210,22.75,74,1995,7.3957214,8.5004854
11210,25.48,71,1996,7.3907986,8.527401
11210,22.91,65,1997,7.4241652,8.5592947
11210,24.440001,81,1998,7.4512415,8.5507174
11240,38.200001,47.900002,1992,7.5363641,8.442956
11240,42.400002,42.599998,1993,7.4894123,8.4891329
11240,40.400002,63.700001,1994,7.4639368,8.5615044
11240,45,75.800003,1995,7.3920317,8.6952591
11240,48.150002,72.699997,1996,7.4395595,8.6813784
11240,45.240002,65,1997,7.4604902,8.6644058
11240,48.41,71,1998,7.4725008,8.6746817
11250,56.099998,73.099998,1992,6.5510802,8.8431501
11250,54,49.099998,1993,6.5539336,8.8139839
11250,53.400002,45.599998,1994,6.7214255,8.6196642
11250,51.84,59.599998,1995,6.779922,8.5389318
11250,53.48,45.799999,1996,6.7707896,8.6645708
11250,54.299999,60,1997,6.8221974,8.628377
11250,53.639999,81,1998,6.7945867,8.6870537
11300,32.299999,53.200001,1992,8.4487,8.4646511
11300,34.5,50.700001,1993,8.4277058,8.5283365
11300,36.599998,48.400002,1994,8.401782,8.5619192
11300,40.830002,72.400002,1995,8.3240938,8.668643
11300,39.889999,65.699997,1996,8.3180103,8.694829
11300,36.869999,66,1997,8.3289337,8.6678524
11300,36.560001,68,1998,8.3361511,8.6832247
11310,28.799999,34.400002,1992,7.5983992,8.3097773
11310,30.6,52.599998,1993,7.5852809,8.323802
11310,39,48.400002,1994,7.5485559,8.395298
11310,29.42,69.5,1995,7.4622149,8.6076221
11310,30.809999,77.199997,1996,7.4770384,8.5819798
11310,33.5,83,1997,7.5098829,8.5583353
11310,31.41,91,1998,7.5043917,8.6033907
11320,25.6,38.599998,1992,7.1115122,8.3632221
11320,22.299999,38,1993,7.2710085,8.3414345
11320,28.200001,48.5,1994,7.1861444,8.4391003
11320,36.66,70.599998,1995,7.1090622,8.5813026
11320,35.380001,62.700001,1996,7.1388669,8.5939875
11320,35.82,43,1997,7.1869011,8.5743294
11320,37.490002,68,1998,7.1838708,8.5888319
11330,40,41.799999,1992,7.6068845,8.693614
11330,40.5,34.200001,1993,7.5427437,8.7399902
11330,43,52.599998,1994,7.802618,8.483532
11330,46.849998,70.099998,1995,7.7911096,8.5709763
11330,44.849998,68.599998,1996,7.7672639,8.6496296
11330,46.360001,46,1997,7.7702231,8.6823683
11330,43.57,77,1998,7.761745,8.7115116
11340,8.8000002,41.700001,1992,6.7696419,8.9560957
11340,9.6000004,54.799999,1993,6.7923446,8.9311619
11340,12,40,1994,6.8221974,8.9695911
11340,15.34,60.799999,1995,6.8134446,8.9449463
11340,14.35,49,1996,6.8145428,8.9566135
11340,13.69,46,1997,6.8090391,8.9189177
11340,15.48,78,1998,6.8669333,8.8760557
11670,0,22.200001,1992,4.3438053,8.1388769
11670,0,37.5,1993,4.2766662,8.1451387
11670,0,25,1994,4.2341065,8.1701336
11670,0,66.699997,1995,4.0943446,8.4540167
11670,0,75,1996,3.9512436,8.6160984
11670,0,17,1997,3.9318256,8.7640533
11670,0,50,1998,3.9889841,8.7866154
12010,22.4,27.700001,1992,8.2943001,8.3204184
12010,21.6,40.299999,1993,8.2802038,8.3665409
12010,21.700001,47.799999,1994,8.2607517,8.4729471
12010,20.57,60,1995,8.1886892,8.6263037
12010,21.23,47.400002,1996,8.1836767,8.6384563
12010,21.139999,49,1997,8.1507568,8.7043362
12010,23.360001,65,1998,8.1622314,8.6653852
12020,29.200001,27.6,1992,7.3085427,8.1665459
12020,27.4,36.099998,1993,7.2772479,8.2698088
12020,32,34.700001,1994,7.2861919,8.2895842
12020,35.490002,44.599998,1995,7.3051882,8.4310951
12020,30.559999,40.599998,1996,7.2793188,8.4913187
12020,30.360001,44,1997,7.3072023,8.5177927
12020,37.860001,54,1998,7.2977681,8.5438385
12040,17.6,21.200001,1992,7.3258076,8.2446375
12040,20.6,30.6,1993,7.3125534,8.3219128
12040,21.700001,32.099998,1994,7.3011479,8.3722801
12040,24.68,56.900002,1995,7.3178763,8.4517698
12040,27.120001,40,1996,7.2923369,8.4885855
12040,28,38,1997,7.3231707,8.4931049
12040,22.6,63,1998,7.3434262,8.5049314
13000,22.9,35.599998,1992,7.6843243,8.4014463
13000,32.099998,44.200001,1993,5.8377304,7.9274592
13000,34.700001,45.799999,1994,5.9348941,8.1163044
13000,34.41,58.5,1995,5.9427996,8.3342686
13000,37.490002,57.400002,1996,7.6525459,8.7235327
13000,33.889999,52,1997,5.9506426,8.3530254
13000,34.049999,71,1998,5.9454207,8.370945
13010,42.700001,30.700001,1992,7.7488914,8.4759216
13010,55.200001,32.5,1993,7.7248883,8.5511408
13010,58.099998,27.6,1994,7.6998425,8.6322918
13010,59.470001,54.099998,1995,7.6381984,8.7836056
13010,61.380001,39.599998,1996,7.6439619,8.8267097
13010,55.099998,38,1997,7.6520705,8.7730751
13010,60.91,68,1998,7.6410842,8.8297453
13020,42.299999,20.5,1992,9.1465483,8.6069164
13020,51.200001,29.6,1993,9.1232567,8.6181993
13020,52.400002,21.799999,1994,9.1310806,8.7070332
13020,54.619999,44.400002,1995,9.0621881,8.8371716
13020,59.709999,44.900002,1996,9.066124,8.8386488
13020,56.68,41,1997,9.0649681,8.8055248
13020,56.110001,60,1998,9.0532188,8.8543634
13050,20.200001,43.900002,1992,6.7867169,8.3898201
13050,23.700001,54.900002,1993,6.8211074,8.3927946
13050,21.5,36.400002,1994,6.8276291,8.491786
13050,25.200001,59.200001,1995,6.8068295,8.6253586
13050,27.18,62.5,1996,6.8362594,8.5994673
13050,24.690001,38,1997,6.828712,8.6887903
13050,23.889999,66,1998,6.8243737,8.6589117
13070,16.6,36.700001,1992,7.9094896,8.360817
13070,19.5,48.900002,1993,7.9487386,8.3477707
13070,18.299999,51.599998,1994,7.9373746,8.4451714
13070,21.719999,77.300003,1995,7.8834462,8.5887814
13070,20.91,72.699997,1996,7.8830695,8.6160984
13070,19.83,66,1997,7.8969245,8.6483965
13070,16.98,87,1998,7.9284062,8.6223602
13080,23.299999,26.799999,1992,6.9707303,8.340003
13080,28.700001,55.599998,1993,6.954639,8.3831882
13080,28.1,39.700001,1994,6.985642,8.4409723
13080,29.280001,77.400002,1995,6.9343972,8.6278133
13080,31.43,91.5,1996,6.9431224,8.7271872
13080,30.75,64,1997,6.9911771,8.6576509
13080,31.74,84,1998,7.0361485,8.6530838
13090,9.6000004,39.599998,1992,8.1095257,8.5015783
13090,9.6999998,47.599998,1993,8.1140251,8.5826349
13090,11.9,57.799999,1994,8.1098261,8.6542492
13090,12.42,63.799999,1995,8.1077204,8.7179155
13090,12.83,66.800003,1996,8.1211834,8.7212
13090,10.45,62,1997,8.1373959,8.7422552
13090,10.08,77,1998,8.1524858,8.7338009
13095,27.5,31.799999,1992,5.8749309,8.0228453
13095,32.900002,33.299999,1993,5.8749309,8.0130339
13095,32.299999,35.700001,1994,5.8861041,8.0930748
13095,30.99,45.799999,1995,5.4026775,8.6617403
13095,31.940001,48.099998,1996,5.4026775,8.6247711
13095,34.700001,56,1997,5.5174527,8.5960045
13095,29.440001,71,1998,5.5645204,8.6042938
13110,13.9,47.299999,1992,7.7815561,8.4619951
13110,13.2,54.200001,1993,7.7927618,8.4909592
13110,12.6,65.699997,1994,7.8119736,8.5437346
13110,15.64,77.199997,1995,7.840313,8.6564398
13110,16.68,72.300003,1996,7.8586407,8.631546
13110,17.360001,56,1997,7.8819375,8.6729994
13110,17.41,73,1998,7.8789129,8.6761942
13120,12.7,46.099998,1992,7.410347,8.4177523
13120,15,46.700001,1993,7.4318919,8.4445152
13120,16.6,50.5,1994,7.4494982,8.5458412
13120,16.700001,59.700001,1995,7.4407339,8.6551561
13120,16.129999,60.299999,1996,7.4616404,8.6251383
13120,18.120001,64,1997,7.495542,8.6564331
13120,18.309999,74,1998,7.4639368,8.6770334
13130,25.700001,23.1,1992,6.0822191,8.4863577
13130,32.599998,41.900002,1993,6.1548581,8.4480925
13130,33.299999,71.900002,1994,6.1070228,8.5983238
13130,37.200001,86.199997,1995,6.0520892,8.7660246
13130,42.299999,48.400002,1996,6.0707378,8.6523142
13130,39.639999,84,1997,6.0282784,8.7471933
13130,29.17,83,1998,5.9427996,8.7851095
13135,23.5,33.599998,1992,7.2218356,8.2938852
13135,25.700001,50.5,1993,7.2167096,8.3347921
13135,29.200001,50,1994,7.2435131,8.3634777
13135,30.17,65,1995,7.2011709,8.530653
13135,24.610001,51.900002,1996,7.2122946,8.5446672
13135,28.040001,60,1997,7.2392149,8.5939693
13135,40.310001,81,1998,7.2305632,8.6427155
14010,40.5,25.799999,1992,7.3178763,8.4280605
14010,42.299999,47.299999,1993,7.3802557,8.3435516
14010,44.700001,45,1994,7.3708601,8.46385
14010,45.470001,48.799999,1995,7.2786288,8.648159
14010,46.77,71.599998,1996,7.2612252,8.6656294
14010,44.509998,65,1997,7.2449417,8.6750517
14010,40.540001,62,1998,7.2520537,8.6778727
14020,38,39.599998,1992,8.1107273,8.2924547
14020,39,41.200001,1993,8.1164169,8.3211021
14020,37.700001,48.799999,1994,8.0870256,8.3960314
14020,35.939999,61.900002,1995,8.030735,8.5312767
14020,38.509998,65,1996,8.0304098,8.5430737
14020,37.150002,67,1997,8.0255165,8.5673161
14020,44.150002,86,1998,8.030735,8.5846062
14030,23.299999,27,1992,7.5202346,8.2512264
14030,22.9,33.099998,1993,7.5438027,8.2438707
14030,24.6,48.200001,1994,7.5606012,8.3720293
14030,21.209999,53.099998,1995,7.5647569,8.4172249
14030,23.98,59.900002,1996,7.6192336,8.4398375
14030,22.59,57,1997,7.6534948,8.4869404
14030,21.370001,68,1998,7.6539693,8.5112915
14050,31.9,21.1,1992,6.9167151,8.3004427
14050,26.200001,41,1993,6.89467,8.3791161
14050,35.799999,34.299999,1994,6.9612961,8.3899002
14050,31.15,67.900002,1995,6.9382844,8.5164213
14050,33.060001,62.299999,1996,7.0012455,8.5116844
14050,32.740002,60,1997,6.9957662,8.5569906
14050,40.119999,44,1998,6.9948502,8.5836859
15000,25.4,37.400002,1992,6.779922,8.5331459
15000,26.6,43.5,1993,6.8101425,8.559268
15000,21.200001,48.5,1994,5.8230457,8.0305862
15000,28.18,58.400002,1995,6.8448153,8.654789
15000,26.360001,65.599998,1996,5.8861041,8.3590755
15000,27.68,64,1997,6.6567264,8.713253
15000,28.389999,79,1998,5.8260002,8.378891
15010,0,66.699997,1992,4.356709,9.0714664
15010,0,33.299999,1993,4.4067192,9.0483904
15010,0,75,1994,4.4659081,9.0921087
15010,0,45.5,1995,4.4188404,9.1984396
15010,0,85.699997,1996,4.6151204,9.0559301
15010,0,80,1997,4.4998097,9.2606535
15010,0,89,1998,4.5108595,9.2886477
15020,22.6,33,1992,7.2167096,8.4913006
15020,27.700001,49.5,1993,7.2548847,8.497324
15020,23.799999,60.200001,1994,7.2320104,8.5981236
15020,24.92,73.199997,1995,7.2889276,8.6362629
15020,27.360001,81.599998,1996,7.2420826,8.7064095
15020,25.379999,74,1997,7.2861919,8.6958418
15020,25.549999,76,1998,7.3125534,8.6935139
15030,33.099998,40.900002,1992,5.8081427,8.2601423
15030,38,18.5,1993,5.8051348,8.3315878
15030,38.5,28.6,1994,5.8522024,8.3571434
15030,41.82,39.099998,1995,5.7960577,8.5485716
15030,36.880001,30.799999,1996,5.771441,8.5752459
15030,34.970001,39,1997,5.7004437,8.6166763
